Twitter Handle,Incumbent?,Age,Followers Count
williams4iowa,Yes,66.0,530.0
timiforiowa,Yes,53.0,905.0
rassmith62,Yes,32.0,2777.0
lizbennettiowa,Yes,38.0,2321.0
staedart,Yes,71.0,1720.0
ericforiowa,No,41.0,1055.0
mdonahueforia,Yes,,1211.0
wanasattia,No,41.0,5942.0
rubyforiowa,No,,2462.0
sarahsmithhd76,No,,183.0
cindywinckler,Yes,70.0,925.0
kelceybrackett,No,45.0,196.0
gleason4iowa,No,56.0,112.0
andrewsforiowa,No,,505.0
lindsay4iowa,Yes,39.0,2135.0
shriformi,No,60.0,4519.0
abrahamaiyash,No,,7760.0
kaylyme,Yes,,11829.0
bethformi101st,No,52.0,90.0
votedanoneil,No,61.0,4165.0
doctorricher,No,48.0,337.0
maryforrep,No,31.0,150.0
janetmetsa,No,62.0,62.0
jewelljonesmi,Yes,25.0,3307.0
slattweets,No,,351.0
lpohutsky19,Yes,32.0,12804.0
mattformichigan,Yes,36.0,2158.0
voteranjeev,No,28.0,574.0
darrincamilleri,Yes,28.0,4400.0
nateforstaterep,Yes,37.0,308.0
reginaforrep,No,,135.0
repbrendacarter,Yes,66.0,637.0
boucher4mi,No,25.0,93.0
kyrahbolden,Yes,,3176.0
ssteckloff,No,,694.0
votepulver,No,37.0,12153.0
marimanoogian,Yes,28.0,17785.0
votebreadonmi43,No,,659.0
voteforrest44,No,,337.0
barbanness2020,No,,641.0
jodylamacchia,No,,1111.0
vote4morse,No,,909.0
jimhaadsma,Yes,62.0,936.0
hofmankingston,No,35.0,24.0
wheelerforhd66,No,21.0,1149.0
karahope7,Yes,46.0,758.0
sarahanthony517,Yes,30.0,3632.0
juliebrixie,Yes,54.0,1950.0
angelamihouse,Yes,,1333.0
lilyformichigan,No,,111.0
billinthehouse,No,43.0,837.0
davidlagrand,Yes,54.0,909.0
bob_77th,No,,46.0
electdan2020,No,,
c79th,No,21.0,1567.0
almquistforhd80,No,,
brianhosticka,No,50.0,72.0
amosoneal1,No,,21.0
sarah4mi,No,43.0,804.0
teamtommync,No,,69.0
philstover4,No,,62.0
brian_farkas,No,33.0,1154.0
autryjohn,Yes,,3965.0
repbeckycarney,Yes,,1100.0
huntfornchouse,Yes,55.0,1285.0
loftonfornc,Yes,41.0,1317.0
wesleyharrisnc,Yes,33.0,2629.0
cunninghamncrep,Yes,58.0,1602.0
ncforjen,No,,189.0
brianturnernc,Yes,46.0,3198.0
remillard117,No,25.0,427.0
joesamqueennc,Yes,70.0,1799.0
allisondahle,Yes,57.0,1367.0
marcywofford,No,,220.0
debbutlerhd18,Yes,,21585.0
electmmorgan,No,,895.0
electadam_hd20,No,23.0,385.0
vernettaalston,Yes,38.0,1392.0
marciahmorey,Yes,,1808.0
griermartin,Yes,51.0,6244.0
terenceeveritt,Yes,45.0,1387.0
friendsforbatch,Yes,41.0,3159.0
joejohnnc40,Yes,,1152.0
kimberlyhardync,No,45.0,682.0
graigmeyer,Yes,46.0,8905.0
cainfornc,No,45.0,553.0
simonforhouse,No,64.0,179.0
clemmons4nc,Yes,,2058.0
quickfornc,No,49.0,2164.0
rickyhurtadonc,No,27.0,1884.0
ericfornchouse,No,64.0,226.0
brewerfornc,Yes,,338.0
gailyoungnc,No,,2174.0
marybelknc,Yes,36.0,969.0
rayrussellfornc,Yes,,1397.0
christyclarknc,Yes,49.0,3412.0
samgrady4house,No,,1106.0
laurel4staterep,No,28.0,381.0
robinsonforoh,Yes,39.0,1465.0
kentksmith,Yes,54.0,2612.0
boyd4oh_d9,Yes,49.0,3847.0
stephaniehowse,Yes,41.0,4815.0
smithfor16,No,,791.0
marylightbody,Yes,68.0,1766.0
liston4ohio,Yes,46.0,2418.0
repdavidleland,Yes,67.0,3263.0
russo4ohio,Yes,,3360.0
iamdontavius,No,,697.0
bitter4betteroh,No,40.0,1225.0
brigidekelly,Yes,37.0,3425.0
emiliasykesoh,Yes,,10760.0
repgalonski,Yes,55.0,23049.0
campbell4ohio,No,,30.0
leronda_jackson,No,40.0,300.0
bergerforohio,No,41.0,487.0
voteamycox,No,41.0,808.0
phh4toledo,Yes,69.0,2322.0
nancyforohio,No,,1224.0
teamshowen,No,,237.0
zachsteppoh,No,25.0,1901.0
dara4ohio,No,,335.0
cstanleyohio,No,37.0,429.0
dudziakohio,No,,564.0
alanstate,No,,166.0
donnabforohio69,No,46.0,375.0
kevinpbarnet,No,59.0,205.0
melissawilde6,No,38.0,182.0
roberts4ohio,No,,911.0
barnesforohio87,No,48.0,15.0
chrislieboldoh,No,28.0,477.0
alexiscmilleroh,No,,2252.0
bethworkman1,No,,561.0
ohiohouseoneill,No,39.0,158.0
swope2020,No,23.0,
danaforohio,No,51.0,183.0
mjferrence,No,45.0,307.0
mattduvall15,No,38.0,5909.0
lindsayforpa106,No,,1241.0
kolbeforpa10,No,,518.0
votemullins,Yes,35.0,174.0
paforjbs,No,,458.0
votetinadavis,Yes,60.0,674.0
ullman_wendy,Yes,68.0,
robynforpa,No,,347.0
joewebsterpa,Yes,62.0,326.0
nancy4pahouse,No,,831.0
danielle_4pa,Yes,42.0,1702.0
jennomara4pa,Yes,31.0,1480.0
mikedoyleforpa,No,41.0,1089.0
voteclaudettepa,No,,584.0
annmarie4pa,No,55.0,782.0
malcolmforpa,Yes,30.0,1882.0
votejasonruff,No,45.0,343.0
fiedler4philly,Yes,,9114.0
amenbrownphl,No,,115.0
joanna4pa,Yes,39.0,1759.0
jaredgsolomon,Yes,41.0,1006.0
innamo,Yes,34.0,14228.0
peter_schweyer,Yes,42.0,2042.0
eskopov16,No,,4.0
marlenekatz4pa,No,,
summerforpa,Yes,33.0,23795.0
micheleforpa41,No,52.0,183.0
micheleknoll44,No,66.0,739.0
pamsnyderpa50,Yes,69.0,427.0
vote4runk,No,,34.0
taraforpa,No,,16474.0
julie4texas,No,,
chrisgturner,Yes,48.0,10874.0
ramos4texas,Yes,,3012.0
jessicafortexas,Yes,37.0,2784.0
skidonenkofortx,No,,3009.0
victoria4texas,Yes,39.0,11237.0
joannacattanach,No,39.0,2333.0
reptonirosetx,Yes,,2309.0
rhettaforhd113,Yes,54.0,2901.0
turnerfortx,Yes,,2357.0
juliejohnsontx,Yes,55.0,5587.0
tmftx,Yes,50.0,9109.0
pachecofortexas,Yes,34.0,440.0
alecjohnson4tx,No,68.0,197.0
celinafortexas,No,,1751.0
claire4texas,No,40.0,1755.0
vote4ina,Yes,45.0,6535.0
raylopezfortx,Yes,,961.0
natalifortexas,No,33.0,2371.0
kaylaalixforte1,No,,79.0
gina_calanni,Yes,42.0,4897.0
voteannjohnson,No,,2280.0
genefortexas,Yes,,16938.0
akilahbacy,No,,2541.0
anahdztx,Yes,42.0,8576.0
repmaryann,Yes,,4139.0
votepennyshaw,No,,1124.0
ronereynolds,Yes,,3191.0
elizmarkowitz,No,36.0,8659.0
ericholguintx,No,33.0,2289.0
repabelherrero,Yes,51.0,1254.0
replongoria,Yes,41.0,5821.0
eddielucioiii,Yes,41.0,8231.0
terrycanales40,Yes,41.0,11634.0
sherylcole1,Yes,56.0,3979.0
vikkigoodwintx,Yes,53.0,2953.0
donnahowardtx,Yes,69.0,18260.0
ginaforaustin,Yes,46.0,8264.0
celiaisrael,Yes,54.0,8576.0
eddiefortexas,Yes,49.0,12837.0
jamestalarico,Yes,31.0,13818.0
joepherrera,No,41.0,190.0
ktp4texas56,No,40.0,299.0
rogers4texas,No,,34073.0
angelafortexas,No,45.0,1427.0
forhd65,Yes,50.0,2765.0
sharon4tx,No,30.0,1729.0
lorenzofortexas,No,32.0,1794.0
ledbetter4tx68,No,,17.0
stephanie4tx73,No,,2626.0
addison4tx,No,39.0,1769.0
gibsonfortexas,No,49.0,323.0
simsfortexas,No,45.0,435.0
jeffwhitfieldtx,No,46.0,916.0
lydiabeantexas,No,40.0,2053.0
alisafortexas,No,,1495.0
dragofor96,No,52.0,
elizabethfortx,No,34.0,2953.0
debrafortexas,No,38.0,1100.0
emilyvoight4wi,No,,710.0
dora_wi,No,,77.0
sara4wi,No,,2260.0
robynvining,Yes,43.0,2372.0
jess4assembly,No,,648.0
jbrostoff,Yes,,2367.0
debforwi,No,,1081.0
emilysiegristwi,No,,3019.0
votekimbutler,No,,277.0
yacoubforwi,No,,
liz4wisconsin,No,,
masontbecker,No,,3216.0
loweryforwi,No,,165.0
winkerforwi,No,,618.0
izzy4wisconsin,No,,68.0
nate4wisconsin,No,,170.0
markforassembly,Yes,33.0,430.0
sitwithjimmy,Yes,,493.0
samba_madison,No,,822.0
kriss4wisconsin,No,,1974.0
bluejeannation,No,56.0,167.0
snodgrassforwi,No,51.0,2120.0
joelforwi,No,57.0,1032.0
gretaneubauer,Yes,29.0,2302.0
berge4eauclaire,No,40.0,199.0
voteshankland,Yes,33.0,147.0
criste72nd,No,,26.0
hong4assembly,No,,
johnsonforwi,No,61.0,27.0
kristinaad90,No,40.0,1065.0
jodiforassembly,Yes,48.0,488.0
amandawhiteeag1,No,41.0,299.0
jaynes4wi,No,,203.0
perryforwi,No,,899.0
french4az,No,59.0,1301.0
jamescita,Yes,45.0,1681.0
senbarbmcguire,No,66.0,1219.0
victorialsteele,Yes,42.0,5453.0
engelforarizona,No,59.0,2707.0
lrobinson4az,No,,691.0
rwkarp,No,71.0,40.0
ajforarizona,No,,884.0
seanbowie,Yes,34.0,3322.0
ervinforaz,No,,700.0
tyreeaz2020,No,31.0,332.0
sethblattman,No,39.0,532.0
lelaalstonaz,Yes,75.0,6438.0
mendezforaz,Yes,35.0,8090.0
rios_rebecca,Yes,53.0,6891.0
christinepmarsh,No,53.0,3490.0
navarreteaz,Yes,,3297.0
ej4sd4,No,36.0,48.0
hanlonforco,No,53.0,
randiforco,No,34.0,6089.0
joannginal,Yes,66.0,2763.0
zenzinger_atoz,Yes,44.0,2686.0
domoreno,Yes,35.0,4334.0
sally4co,No,,293.0
paulaforco,No,,148.0
jeffbridges,Yes,,5208.0
chriskolkerco,No,48.0,508.0
repjanetbuckner,No,,2668.0
senrhondafields,Yes,66.0,7187.0
hansenforco,Yes,44.0,2978.0
lopez4colorado,No,44.0,35.0
loranneausley,No,57.0,2738.0
melinarayna,No,45.0,182.0
heatherforsd7,No,,608.0
sigmanforsenate,No,,
lindastewartfl,Yes,71.0,3004.0
fretwellforfl,No,28.0,235.0
normanflsenate,No,,463.0
rachel_d_brown,No,23.0,432.0
tinapolsky,No,52.0,1116.0
loriberman,Yes,62.0,4752.0
josejavierjjr,Yes,42.0,8821.0
rahmanforga,Yes,59.0,644.0
trevagear,No,42.0,554.0
merritt4ga,No,,809.0
emanueldjones,Yes,61.0,850.0
travisforga,No,,72.0
sen_ed_harbison,Yes,,
kellyrosega17,No,,445.0
ceretta4georgia,No,,271.0
brookeforga27,No,51.0,682.0
montenia4s,No,,10.0
tiannaforchange,No,35.0,1.0
sennanorrock,Yes,76.0,7009.0
parketvanessa,No,,5.0
sallyharrellga,Yes,54.0,3908.0
kimforgeorgia,No,,710.0
elenaparent,Yes,44.0,7707.0
matielynjones,No,,58.0
zacharyperry12,No,26.0,385.0
dawnsenate47,No,38.0,2357.0
auforga,No,43.0,9851.0
deedaley2020,No,,73.0
june_krise,No,,2525.0
sarahzbeeson,No,28.0,1449.0
nikemawilliams,No,42.0,30284.0
gorman4iowa,No,,212.0
nateboulton,Yes,40.0,4151.0
janet4iowa,Yes,50.0,4605.0
debscharper,No,,68.0
tapscott4senate,No,53.0,108.0
ericgiddens4ia,Yes,47.0,947.0
degnerforiowa,No,,334.0
senator_brase,No,58.0,218.0
wileynickel,Yes,44.0,2734.0
electsamsearcy,Yes,,2470.0
sarahcrawfordnc,No,39.0,1453.0
mikewoodard,Yes,61.0,4304.0
jdwootennc,No,35.0,1045.0
helen4ncsenate,No,,
michaelkgarrett,Yes,35.0,1595.0
wwhitenc,No,51.0,163.0
santiagofornc,No,,487.0
jeffjacksonnc,Yes,38.0,61509.0
deandreafornc,No,,1182.0
natashamarcusnc,Yes,51.0,2864.0
wyoung4d43,No,26.0,37.0
briancaskeync,No,49.0,5972.0
joel4ohio,No,,570.0
kathywyenandt,No,46.0,2433.0
fogelforohio,No,40.0,1669.0
ryanottney,No,36.0,228.0
lettsgoohio,No,34.0,4150.0
betsyraderoh,No,59.0,6916.0
tomforohio,No,56.0,670.0
forswartz,No,62.0,1252.0
fletcher1m,No,62.0,415.0
nikilsaval,No,,9952.0
jd4pastsenate,No,23.0,
carolyncomitta,No,68.0,1585.0
shannaforpa,No,34.0,14294.0
audreyspankotx,No,31.0,1591.0
jaystittleburg,No,44.0,326.0
shadizitoon,No,,235.0
rolandfortexas,No,50.0,5625.0
tuckerfortexas,No,29.0,
nealplotkin1,No,,299.0
pattyforsenate,Yes,60.0,2503.0
piotrowski4sen,No,59.0,
murphyforwi,No,,261.0
hansenforwi,No,30.0,443.0
