Tweet ID,Tweet Timestamp,Tweet Type,Tweet Text,Twitter Author Name,Twitter Author Screen Name,Twitter Author ID,Retweets,Likes,URLs,Hashtags,Mentions,Media Type,Media URL,Nested Tweet ID,Nested Timestamp,Nested Author Name,Nested Author Screen Name,Nested Author ID,Nested Text,Nested Retweets,Nested Likes,Nested URLs,Nested Hashtags,Nested Mentions,Nested Media Type,Nested Media URL,OT Tweet ID (RT of QT only),OT Timestamp (RT of QT only),OT Author Name (RT of QT only),OT Author Screen Name (RT of QT only),OT Author ID (RT of QT only),Scrape Timestamp,preprocessed_Tweet Text
1311311286324490243,2020-09-30 14:25:48,Standard Tweet,"Last night we saw a president unwilling to denounce white supremacy, to acknowledge climate change, to act with  a level of decency we should expect from our president. My opponent hasn’t and won’t denounce him for any of it. Help me here:  https://t.co/UD0qgxChjE",Christy Smith,ChristyforCA25,4699063596,88,234,['https://secure.actblue.com/donate/christysmithforcongress-sm'],[],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144732,last night saw president unwilling denounce white supremacy acknowledge act level decency expect president opponent hasnt wont denounce
1309995134004523008,2020-09-26 23:15:53,Quote Tweet,"What happens next will define us for generations.

For our health care, reproductive rights, election security, worker protections, the future of our climate, get involved with elections up and down the ballot and #vote. https://t.co/N1gZfz7xJJ",Christy Smith,ChristyforCA25,4699063596,83,230,['https://twitter.com/CNNPolitics/status/1309963502812094465'],['vote'],[],,[],1.3099635028120945e+18,Sat Sep 26 21:10:11 +0000 2020,CNN Politics,CNNPolitics,13850422.0,BREAKING: President Trump is nominating conservative federal appeals court judge Amy Coney Barrett to succeed Ruth Bader Ginsburg on the Supreme Court https://t.co/YPuRig4blh https://t.co/Qlxchmmx97,1290.0,5275.0,['https://cnn.it/3mViOAk'],[],[],photo,['http://pbs.twimg.com/media/Ei3s3Q1XYAAA7xs.png'],,,,,,04Oct20_144732,happens next define generations health care reproductive rights election security worker protections future involved elections ballot vote
1309522412396900352,2020-09-25 15:57:27,Quote Tweet,"In 39 days, we’re sending Mike Garcia packing. Too much is at stake — reproductive rights, health care, voting rights, our climate... https://t.co/DgASdgGnc3",Christy Smith,ChristyforCA25,4699063596,375,1205,['https://twitter.com/Politics_Polls/status/1309509943805071365'],[],[],,[],1.3095099438050714e+18,Fri Sep 25 15:07:54 +0000 2020,Political Polls,Politics_Polls,1903105045.0,"#CA25 GE:
Christy Smith (D) 51% (+6)
Mike Garcia (R-inc) 45%
.
Biden 53% (+8)
Trump 45%

Normington, Petts &amp; Associates/@HouseMajPAC (D), LV, 9/21-23
https://t.co/gDhCrPUhLm",112.0,497.0,['https://nmcdn.io/e186d21f8c7946a19faed23c3da2f0da/7c9798eaafd54081881797bf9a163295/files/research/CA25-Poll-092420.pdf'],['CA25'],"[{'screen_name': 'HouseMajPAC', 'name': 'House Majority PAC', 'id': 285578853, 'id_str': '285578853', 'indices': [124, 136]}]",,[],,,,,,04Oct20_144732,39 days sending mike garcia packing stake reproductive rights health care voting rights
1309212289279488000,2020-09-24 19:25:08,Standard Tweet,"The staggering number of Americans breathing unhealthy air due to the Western wildfires is why we need climate action now. I promise you this: In Congress, I will take on corporate polluters and hold them accountable.
https://t.co/K8SIGff6lr",Christy Smith,ChristyforCA25,4699063596,52,135,['https://www.npr.org/2020/09/23/915723316/1-in-7-americans-have-experienced-dangerous-air-quality-due-to-wildfires-this-ye?utm_medium=JSONFeed&utm_campaign=health'],[],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144732,staggering number americans breathing unhealthy air due western wildfires promise congress corporate polluters hold accountable
1308534381267398656,2020-09-22 22:31:22,Standard Tweet,"Fighting for fairness and freedom means a fight for...

🇺🇸Universal Health Care
🇺🇸Unassailable Voting Rights
🇺🇸Fair wages &amp; job protections
🇺🇸Climate Action
🇺🇸An end to systemic racism 

Anyone peddling an agenda to destroy these priorities as “freedom” is lying to you.",Christy Smith,ChristyforCA25,4699063596,159,360,[],[],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144732,fairness freedom means universal health care unassailable voting rights fair wages job protections end systemic racism anyone peddling agenda destroy priorities freedom lying
1307496518723579905,2020-09-20 01:47:16,Standard Tweet,"2020 has thrown a lot our way, including climate-change fueled wildfires threatening homes &amp; families in #CA25. Grateful to @RedCrossLA volunteers stationed at Palmdale High helping #AntelopeValley evacuees. Praying for everyone’s safety - we will get through this together. https://t.co/W5uQlGleRs",Christy Smith,ChristyforCA25,4699063596,38,122,[],"['CA25', 'AntelopeValley']","[{'screen_name': 'RedCrossLA', 'name': 'Red Cross Los Angeles', 'id': 14720319, 'id_str': '14720319', 'indices': [128, 139]}]",photo,"['http://pbs.twimg.com/media/EiUpJcZVkAAF8X5.jpg', 'http://pbs.twimg.com/media/EiUpJcZU0AABD_y.jpg']",,,,,,,,,[],[],,,[],,,,,,04Oct20_144732,2020 thrown lot way fueled wildfires threatening homes families grateful redcrossla volunteers stationed palmdale high helping antelopevalley evacuees praying everyones safety together
1306008564314574856,2020-09-15 23:14:40,Standard Tweet,"Gen Z daughter: 
Mom, why anyone would expect young people to be hopeful about planning a future right now is beyond me. 

Me: 
😡- unacceptable our next generation feels hopeless. That’s why climate, healthcare, housing, education, racial &amp; economic justice top my priorities.",Christy Smith,ChristyforCA25,4699063596,104,423,[],[],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144732,gen z daughter mom anyone would expect young hopeful planning future right beyond unacceptable next generation feels hopeless thats healthcare housing education racial economic justice top priorities
1305894721827385354,2020-09-15 15:42:18,Standard Tweet,"Science knows, and climate change is real. 

Our firefighters are on the frontlines of climate change. As wildfires rage in neighboring communities and along the West Coast, please join me in thanking the more than 16,000 brave firefighters saving families and homes across CA. https://t.co/65KsThX8j4",Christy Smith,ChristyforCA25,4699063596,67,163,[],[],[],photo,['http://pbs.twimg.com/media/Eh94U8sUMAMkXXU.jpg'],,,,,,,,,[],[],,,[],,,,,,04Oct20_144732,science knows real firefighters frontlines wildfires rage neighboring communities along west coast please thanking 16000 brave firefighters saving families homes across
1303424134957809664,2020-09-08 20:05:04,Standard Tweet,2.3 million acres burned with active fires raging across CA. I’m the only candidate in #CA25 with an environmental platform. Climate change is real and it’s threatening our survival. It’s time to vote like it.,Christy Smith,ChristyforCA25,4699063596,138,462,[],['CA25'],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144732,23 million acres burned active fires raging across candidate environmental platform real threatening survival vote
1294635132880474113,2020-08-15 14:00:43,Standard Tweet,".#CA25 is home to Aliso Canyon, site of the biggest methane blowout in US history. Once elected I’ll fight like hell to restore these protections. I will not leave my constituents vulnerable to more harm.   https://t.co/EHk7csxUW2",Christy Smith,ChristyforCA25,4699063596,70,191,['https://www.nytimes.com/2020/08/13/climate/trump-methane.amp.html'],['CA25'],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144733,home aliso canyon site methane blowout history elected hell restore protections leave constituents vulnerable harm
1275971623896539136,2020-06-25 01:58:36,Standard Tweet,"The climate crisis may not be front of mind right now, but it’s no less urgent. I’m proud to be a climate leader &amp; will press the issue in the #CA25 debate. Home to the recent  Woolsey, Tick, Easy and Saddleridge Fires- we are the front lines.   https://t.co/LAe0xMIj2I",Christy Smith,ChristyforCA25,4699063596,39,152,['https://www.newyorker.com/news/annals-of-a-warming-planet/what-stands-in-the-way-of-making-the-climate-a-priority'],['CA25'],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144733,front mind right less urgent proud leader press issue debate home recent woolsey tick easy saddleridge fires front lines
1275081357245341706,2020-06-22 15:01:00,Quote Tweet,"I'm grateful to be endorsed by @NRDC_AF, an organization dedicated to climate justice to ensure the rights of all people to clean air, clean water, and healthy communities. Thank you for your support! #CA25 #climatejustice https://t.co/tHVm6XCEhE",Christy Smith,ChristyforCA25,4699063596,22,100,['https://twitter.com/NRDC_AF/status/1272636441269612554'],"['CA25', 'climatejustice']","[{'screen_name': 'NRDC_AF', 'name': 'NRDC Action Fund', 'id': 56495963, 'id_str': '56495963', 'indices': [31, 39]}]",,[],1.2726364412696123e+18,Mon Jun 15 21:05:46 +0000 2020,NRDC Action Fund,NRDC_AF,56495963.0,"Today, we’re endorsing 11 more candidates for the U.S. House and Senate. They will fight to create clean energy jobs, restore common–sense environmental safeguards &amp; protect America’s treasured wild places and wildlife. https://t.co/hH0imnbbhw",1.0,13.0,['https://www.nrdcactionfund.org/news/nrdc-action-fund-endorses-11-house-senate-candidates?utm_source=tw&utm_medium=tweet&utm_campaign=AFciven20'],[],[],,[],,,,,,04Oct20_144733,grateful endorsed nrdc_af organization dedicated justice ensure rights clean air clean water healthy communities thank climatejustice
1260251801472786432,2020-05-12 16:53:38,Retweet,"special election TODAY in #CA25. We've endorsed @ChristyforCA25 for her thoughtful approach to legislation, including a labor-friendly Green New Deal. Get your ballot postmarked today!",Christy Smith,ChristyforCA25,4699063596,149,281,[],['CA25'],"[{'screen_name': 'ChristyforCA25', 'name': 'Christy Smith', 'id': 4699063596, 'id_str': '4699063596', 'indices': [48, 63]}]",,[],1.2602459307516232e+18,Tue May 12 16:30:18 +0000 2020,Climate Hawks Vote,ClimateHawkVote,1517267136.0,,,,[],[],,,[],,,,,,04Oct20_144733,special election weve endorsed christyforca25 thoughtful approach legislation laborfriendly green new deal ballot postmarked
1256584842529042432,2020-05-02 14:02:27,Standard Tweet,"One year ago, the House passed HR9 the Climate Action Now Act. #CA25 has suffered devastating wildfires year after year. Where’s my opponent on climate action? With #MoscowMitch-it’s going nowhere. 🤦‍♀️.   https://t.co/fvJ3hXgAVJ",Christy Smith,ChristyforCA25,4699063596,112,289,['https://www.vox.com/2019/3/27/18283831/pelosi-climate-change-green-new-deal'],"['CA25', 'MoscowMitch']",[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144734,house passed hr9 act suffered devastating wildfires wheres opponent moscowmitchits going nowhere
1255634553676259328,2020-04-29 23:06:20,Quote Tweet,I'm grateful for the support of @clcv and committed to fighting for #climateaction and #climatejustice for our current and future generations. #CA25 #VoteByMay12 https://t.co/cPlExDoQ1F,Christy Smith,ChristyforCA25,4699063596,46,105,['https://twitter.com/clcv/status/1255568793956429825'],"['climateaction', 'climatejustice', 'CA25', 'VoteByMay12']","[{'screen_name': 'clcv', 'name': 'CLCV 🌎', 'id': 18795726, 'id_str': '18795726', 'indices': [32, 37]}]",,[],1.2555687939564298e+18,Wed Apr 29 18:45:02 +0000 2020,CLCV 🌎,clcv,18795726.0,"We endorsed @ChristyforCA25 because she is a strong public servant &amp; an environmental champion! 🌎💪🏽 #ElectionDay for #CA25 is Tuesday, May 12 &amp; guess what? Each registered voter was sent a ballot for this special election. From the safety of your home, you can vote today! https://t.co/RYrWjotq5N",11.0,23.0,[],"['ElectionDay', 'CA25']","[{'screen_name': 'ChristyforCA25', 'name': 'Christy Smith', 'id': 4699063596, 'id_str': '4699063596', 'indices': [12, 27]}]",photo,['http://pbs.twimg.com/media/EWytKfrWAAAsS_f.png'],,,,,,04Oct20_144734,grateful clcv committed climateaction climatejustice current future generations votebymay12
1252969746489839617,2020-04-22 14:37:21,Standard Tweet,"#EarthDay2020 reminds us we must elect leaders committed to building a renewable and clean energy infrastructure to combat the climate crisis so families, and communities, can thrive for generations to come. In Congress, I'll stand up to polluters and fight for #ClimateAction. https://t.co/WGFv5RvV0D",Christy Smith,ChristyforCA25,4699063596,72,155,[],"['EarthDay2020', 'ClimateAction']",[],photo,['http://pbs.twimg.com/media/EWNwd1SXgAEreKd.jpg'],,,,,,,,,[],[],,,[],,,,,,04Oct20_144734,earthday2020 reminds elect leaders committed building renewable clean energy infrastructure combat families communities thrive generations come congress stand polluters climateaction
1245000951544467459,2020-03-31 14:52:12,Standard Tweet,"Yes, because nothing says fight a disease that attacks the lungs like increasing pollution and spurring climate change. 🤦‍♀️ While we’re all busy with #COVID19... https://t.co/oBnqQYVOoH",Christy Smith,ChristyforCA25,4699063596,41,77,['https://www.latimes.com/politics/story/2020-03-31/trump-rolls-back-fuel-economy-standards'],['COVID19'],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144734,yes nothing says disease attacks lungs increasing pollution spurring busy covid19
1227425103757004800,2020-02-12 02:52:03,Quote Tweet,Our climate crisis is real. No one knows that better than the men and women of California’s fire fighting services. I’m proud to continue to stand with them to ensure they have what they need to meet the challenges the crisis presents them through year round fire season in CA. https://t.co/GunEXNas20,Christy Smith,ChristyforCA25,4699063596,15,77,['https://twitter.com/AsmChristySmith/status/1227405492772724736'],[],[],,[],1.2274054927727247e+18,Wed Feb 12 01:34:08 +0000 2020,Assemblywoman Christy Smith,AsmChristySmith,1.065200617298133e+18,"CA wildfires have fundamentally changed &amp; overwhelmed the firefighting system we’ve relied on for decades — mutual aid. Today, the Joint Legislative Committee on Emergency Management convened a hearing examining the personnel &amp; equipment assistance needed to fortify mutual aid. https://t.co/XSeAC9zd5x",3.0,18.0,[],[],[],photo,['http://pbs.twimg.com/media/EQieybcVUAAfXmP.jpg'],,,,,,04Oct20_144734,real knows better men women californias fire services proud continue stand ensure meet challenges presents round fire season
1225531061150658560,2020-02-06 21:25:48,Standard Tweet,"As an Assemblymember, I take pride in my 100% environmental voting record and I look forward to fighting for our environment in Congress with @SierraClub’s endorsement. The time is now to fight climate change and create a sustainable, green economy that leaves no one behind #CA25 https://t.co/5Kw08feTv5",Christy Smith,ChristyforCA25,4699063596,37,112,[],['CA25'],"[{'screen_name': 'SierraClub', 'name': 'Sierra Club', 'id': 34113439, 'id_str': '34113439', 'indices': [142, 153]}]",animated_gif,['http://pbs.twimg.com/tweet_video_thumb/EQH1_uDUEAATA2X.jpg'],,,,,,,,,[],[],,,[],,,,,,04Oct20_144734,assemblymember pride 100 environmental voting record forward environment congress sierraclubs endorsement create sustainable green economy leaves behind
1217500095110795265,2020-01-15 17:33:37,Quote Tweet,"Our climate crisis is real. We can not afford inaction. From national security, to health, and economic loss the impacts reach every aspect of our lives. #ClimateAction https://t.co/UvxMqHp7qs",Christy Smith,ChristyforCA25,4699063596,25,96,['https://twitter.com/nationaljournal/status/1217482083544768512'],['ClimateAction'],[],,[],1.2174820835447685e+18,Wed Jan 15 16:22:03 +0000 2020,National Journal,nationaljournal,15210284.0,"New from House reporter @kirk_bado, who talked to candidates @ChristyforCA25
 and @DePasqualePA about the importance of climate change in their campaigns and how other Democrats are making proposals top priorities in 2020.
https://t.co/ikTGoO7Pkb https://t.co/I74CiWYqup",2.0,2.0,['https://buff.ly/36XApz9'],[],"[{'screen_name': 'kirk_bado', 'name': 'Kirk A. Bado', 'id': 791742307, 'id_str': '791742307', 'indices': [24, 34]}, {'screen_name': 'ChristyforCA25', 'name': 'Christy Smith', 'id': 4699063596, 'id_str': '4699063596', 'indices': [61, 76]}, {'screen_name': 'DePasqualePA', 'name': 'Eugene DePasquale', 'id': 37820650, 'id_str': '37820650', 'indices': [82, 95]}]",photo,['http://pbs.twimg.com/media/EOVdgKrW4AYBONa.jpg'],,,,,,04Oct20_144735,real afford inaction national security health economic loss impacts reach every aspect lives climateaction
1217292480594362368,2020-01-15 03:48:38,Standard Tweet,#DemDebate- only Steyer &amp; Biden tie jobs to our need to address the climate crisis. We can not leave energy sector workers behind. We must put them first as we build the infrastructure to make our transition to clean energy.,Christy Smith,ChristyforCA25,4699063596,32,205,[],['DemDebate'],[],,[],,,,,,,,,[],[],,,[],,,,,,04Oct20_144735,demdebate steyer biden tie jobs address leave energy sector workers behind put first build infrastructure transition clean energy
1199399761486286848,2019-11-26 18:49:21,RT of QT,"Thank you @ChristyforCA25 for bringing awareness to the impacts of the #ClimateCrisis happening right now in California. 

We need bold leaders willing to step up to meet the demand of this moment. That's why we're proud to endorse YOU for Congress! #CA25 https://t.co/hhUvRHtZr4",Christy Smith,ChristyforCA25,4699063596,18,31,['https://twitter.com/ChristyforCA25/status/1198991130320228352'],"['ClimateCrisis', 'CA25']","[{'screen_name': 'ChristyforCA25', 'name': 'Christy Smith', 'id': 4699063596, 'id_str': '4699063596', 'indices': [10, 25]}]",,[],1.1993995567161713e+18,Tue Nov 26 18:48:32 +0000 2019,CLCV 🌎,clcv,18795726.0,"The people of #CA25 grappled with multiple wildfires just this year. We are on the frontlines of this climate crisis. 

Addressing climate change shouldn't be a partisan issue - because we're all in this together. Join us in this fight  https://t.co/UD0qgxChjE https://t.co/krsvdlNtKV",392.0,999.0,['https://secure.actblue.com/donate/christysmithforcongress-sm'],['CA25'],[],video,['http://pbs.twimg.com/ext_tw_video_thumb/1198990849842933760/pu/img/Vt2Ue7xZGdEAqA-w.jpg'],1.1989911303202284e+18,Mon Nov 25 15:45:36 +0000 2019,Christy Smith,ChristyforCA25,4699063596.0,04Oct20_144735,thank christyforca25 bringing awareness impacts climatecrisis happening right bold leaders willing step meet demand moment thats proud endorse congress
1199399239995940864,2019-11-26 18:47:17,RT of QT,We are glad to see @clcv endorsee Christy Smith speak out on the urgent need to #ActOnClimate after dangerous wildfires devastated communities across #CA25 this year. https://t.co/WnQ891uBrB,Christy Smith,ChristyforCA25,4699063596,18,38,['https://twitter.com/ChristyforCA25/status/1198991130320228352'],"['ActOnClimate', 'CA25']","[{'screen_name': 'clcv', 'name': 'CLCV 🌎', 'id': 18795726, 'id_str': '18795726', 'indices': [19, 24]}]",,[],1.1993988229185536e+18,Tue Nov 26 18:45:37 +0000 2019,LCV – League of Conservation Voters,LCVoters,20517132.0,"The people of #CA25 grappled with multiple wildfires just this year. We are on the frontlines of this climate crisis. 

Addressing climate change shouldn't be a partisan issue - because we're all in this together. Join us in this fight  https://t.co/UD0qgxChjE https://t.co/krsvdlNtKV",392.0,999.0,['https://secure.actblue.com/donate/christysmithforcongress-sm'],['CA25'],[],video,['http://pbs.twimg.com/ext_tw_video_thumb/1198990849842933760/pu/img/Vt2Ue7xZGdEAqA-w.jpg'],1.1989911303202284e+18,Mon Nov 25 15:45:36 +0000 2019,Christy Smith,ChristyforCA25,4699063596.0,04Oct20_144735,glad clcv endorsee christy smith speak urgent actonclimate dangerous wildfires devastated communities across
