Tweet ID,Tweet Timestamp,Tweet Type,Tweet Text,Twitter Author Name,Twitter Author Screen Name,Twitter Author ID,Retweets,Likes,URLs,Hashtags,Mentions,Media Type,Media URL,Nested Tweet ID,Nested Timestamp,Nested Author Name,Nested Author Screen Name,Nested Author ID,Nested Text,Nested Retweets,Nested Likes,Nested URLs,Nested Hashtags,Nested Mentions,Nested Media Type,Nested Media URL,OT Tweet ID (RT of QT only),OT Timestamp (RT of QT only),OT Author Name (RT of QT only),OT Author Screen Name (RT of QT only),OT Author ID (RT of QT only),Scrape Timestamp,preprocessed_Tweet Text,tokenized_Tweet Text
1233887798161223681,2020-02-29 22:52:30,Standard Tweet,"Most Americans agree the government is not doing enough to fight #ClimateChange

https://t.co/B2yQJDg9Fv

When elected I will fight to make it a priority &amp; to transition to clean energy sources like solar &amp; wind.

Please help me get it done:
https://t.co/QiFM3nzhqU

#GreenCaucus",Santiago For NC,SantiagoForNC,1219816256750129152,2,2,"['https://www.pewresearch.org/fact-tank/2020/02/28/more-americans-see-climate-change-as-a-priority-but-democrats-are-much-more-concerned-than-republicans', 'https://secure.actblue.com/donate/santiagofornc']","['ClimateChange', 'GreenCaucus']",[],,[],,,,,,,,,[],[],,,[],,,,,,20Oct20_150948,americans agree government enough fight elected fight priority transition clean energy sources solar wind please help done greencaucus,"['american', 'agre', 'govern', 'enough', 'fight', 'elect', 'fight', 'prioriti', 'transit', 'clean', 'energi', 'sourc', 'solar', 'wind', 'pleas', 'help', 'done', 'greencaucus']"
1223578633773645825,2020-02-01 12:07:33,Retweet,"We've seen the devastating impact of climate change too many times to not take action. By adding thousands of clean energy jobs &amp; creating a plan to reduce greenhouse gas emissions by 70 percent, N.C. has become a leader in the fight for our planet.

https://t.co/xqeXy3iBAz",William Young for District 43,wyoung4D43,1222281759011803147,45,188,['https://www.newsobserver.com/opinion/op-ed/article239833168.html'],[],[],,[],1.2233065097418957e+18,Fri Jan 31 18:06:14 +0000 2020,Governor Roy Cooper,NC_Governor,8.137922504970281e+17,,,,[],[],,,[],,,,,,20Oct20_151029,weve seen devastating impact many times action adding thousands clean energy jobs creating plan reduce greenhouse gas emissions 70 percent become leader fight planet,"['weve', 'seen', 'devast', 'impact', 'mani', 'time', 'action', 'ad', 'thousand', 'clean', 'energi', 'job', 'creat', 'plan', 'reduc', 'greenhous', 'gas', 'emiss', 'percent', 'becom', 'leader', 'fight', 'planet']"
1221095148408406016,2020-01-25 15:39:04,Quote Tweet,"Our schools are underfunded. Our healthcare is prohibitively expensive. Our schoolchildren live in fear of gun violence. Our climate is in crisis. Our workers are underpaid. Our people are dying from opioid abuse...

THIS? This is your priority? #VoteThemAllOut2020 #LettsGoOhio https://t.co/uOIDBgR3Jp",Crystal Lett for Ohio,LettsGoOhio,950584947210969088,3,15,['https://twitter.com/OHSenDemCaucus/status/1220830624438738946'],"['VoteThemAllOut2020', 'LettsGoOhio']",[],,[],1.220830624438739e+18,Fri Jan 24 22:07:57 +0000 2020,Ohio Senate Dems 🇺🇸 Campaign Team,OHSenDemCaucus,2393484560.0,"Hey look. A ridiculous bill no one asked for from Niraj Antani and Candice Keller: https://t.co/1fJkeKsIKq

Almost like they're both scared to lose their #Ohio Senate races this year... 🙃

🇺🇸 Help make sure they lose: https://t.co/p9ySh1TgNl",13.0,14.0,"['https://tinyurl.com/s6ajgcj', 'https://tinyurl.com/y6xwxbz2']",['Ohio'],[],,[],,,,,,20Oct20_152017,schools underfunded healthcare prohibitively expensive schoolchildren live fear gun violence crisis workers underpaid people dying opioid abuse priority votethemallout2020 lettsgoohio,"['school', 'underfund', 'healthcar', 'prohibit', 'expens', 'schoolchildren', 'live', 'fear', 'gun', 'violenc', 'crisi', 'worker', 'underpaid', 'peopl', 'die', 'opioid', 'abus', 'prioriti', 'votethemallout2020', 'lettsgoohio']"
1240720431990136837,2020-03-19 19:22:57,Retweet,"Folks, we had so much fun on the Green New Deal Happy Hour last night that we’re doing it again. Come join @aldatweets, @johannabozuwa, special guest @NikilSaval, me, and everyone else next Wednesday at 5pm.

https://t.co/4nMlWWPe1g",Nikil Saval,NikilSaval,1196937733878505473,15,75,['https://www.eventbrite.com/e/digital-gnd-happy-hours-in-the-time-of-coronavirus-tickets-100426937674'],[],"[{'screen_name': 'aldatweets', 'name': 'Daniel Aldana Cohen', 'id': 62648354, 'id_str': '62648354', 'indices': [107, 118]}, {'screen_name': 'johannabozuwa', 'name': 'Johanna Bozuwa', 'id': 596567128, 'id_str': '596567128', 'indices': [120, 134]}, {'screen_name': 'NikilSaval', 'name': 'Nikil Saval', 'id': 1196937733878505473, 'id_str': '1196937733878505473', 'indices': [150, 161]}]",,[],1.2407169056833577e+18,Thu Mar 19 19:08:56 +0000 2020,Billy Fleming,JooBilly,80908670.0,,,,[],[],,,[],,,,,,20Oct20_151343,folks much fun green deal happy hour last night come aldatweets johannabozuwa special guest nikilsaval everyone else next wednesday 5pm,"['folk', 'much', 'fun', 'green', 'deal', 'happi', 'hour', 'last', 'night', 'come', 'aldatweet', 'johannabozuwa', 'special', 'guest', 'nikilsav', 'everyon', 'els', 'next', 'wednesday', 'pm']"
1227275084747935744,2020-02-11 16:55:56,RT of QT,"This is what leadership looks like. This is what a movement candidate looks like 

So proud of @NikilSaval signing the no fossil fuel money pledge in Pennsylvania, a gigantic fossil extraction state

Nikil is running for state senate on a Green New Deal platform. Let’s win this https://t.co/oSGc0KYPBq",Nikil Saval,NikilSaval,1196937733878505473,10,40,['https://twitter.com/NikilSaval/status/1227238579929321473'],[],"[{'screen_name': 'NikilSaval', 'name': 'Nikil Saval', 'id': 1196937733878505473, 'id_str': '1196937733878505473', 'indices': [95, 106]}]",,[],1.2272468345838346e+18,Tue Feb 11 15:03:41 +0000 2020,Daniel Aldana Cohen,aldatweets,62648354.0,"Pennsylvania is slated to be the third largest extractor of new oil and gas. Not just in our country, but in the world after Canada. This needs to change and that's why I am proud to sign on to the #NoFossilFuelMoney pledge. https://t.co/2hMjUdW1WY",33.0,128.0,[],['NoFossilFuelMoney'],[],video,['http://pbs.twimg.com/ext_tw_video_thumb/1227238537734631424/pu/img/Zxc2JB2Rn0uX-CrC.jpg'],1.2272385799293215e+18,Tue Feb 11 14:30:53 +0000 2020,Nikil Saval,NikilSaval,1.1969377338785055e+18,20Oct20_151345,leadership looks movement candidate looks proud nikilsaval signing fossil fuel money pledge gigantic fossil extraction nikil running senate green deal platform lets win,"['leadership', 'look', 'movement', 'candid', 'look', 'proud', 'nikilsav', 'sign', 'fossil', 'fuel', 'money', 'pledg', 'gigant', 'fossil', 'extract', 'nikil', 'run', 'senat', 'green', 'deal', 'platform', 'let', 'win']"
1223778333042921478,2020-02-02 01:21:05,Reply Tweet,@UNITEHEREPhilly represents the most precarious workers in schools - cafeteria workers and climate support staff. These workers are invaluable - they’re the backbone of our schools and keep our schools safe. I was there in 2013 when gov.corbett fired 1800 of these workers.,Nikil Saval,NikilSaval,1196937733878505473,0,1,[],[],"[{'screen_name': 'UNITEHEREPhilly', 'name': 'UNITE HERE Philly', 'id': 87570681, 'id_str': '87570681', 'indices': [0, 16]}]",,[],1.2237779588354253e+18,,,NikilSaval,1.1969377338785055e+18,,,,[],[],,,[],,,,,,20Oct20_151345,uniteherephilly represents precarious workers schools cafeteria workers staff workers invaluable theyre backbone schools keep schools safe 2013 govcorbett fired 1800 workers,"['uniteherephilli', 'repres', 'precari', 'worker', 'school', 'cafeteria', 'worker', 'staff', 'worker', 'invalu', 'theyr', 'backbon', 'school', 'keep', 'school', 'safe', 'govcorbett', 'fire', 'worker']"
1301571742419349510,2020-09-03 17:24:20,Reply Tweet,@rationalsquad @JoeBiden @amandaforpa @JulieSlomski @JD4PASTSenate Thank you! I have a BS in earth and environmental science and worked on research in climate change modeling!!! We must act now! I am running to ensure this planet is around for my son’s future! My family has been the victims of greedy fossil fuel industry polluting their well.,SiegelforSenatePA,SenatePa,1215034690064855040,0,2,[],[],"[{'screen_name': 'rationalsquad', 'name': 'Brian Sapient the Planet Saver', 'id': 81979135, 'id_str': '81979135', 'indices': [0, 14]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [15, 24]}, {'screen_name': 'amandaforpa', 'name': 'Amanda Cappelletti', 'id': 1188098712825946113, 'id_str': '1188098712825946113', 'indices': [25, 37]}, {'screen_name': 'JulieSlomski', 'name': 'Julie Slomski', 'id': 1217585384344952834, 'id_str': '1217585384344952834', 'indices': [38, 51]}, {'screen_name': 'JD4PASTSenate', 'name': 'Janet Diaz', 'id': 4563097587, 'id_str': '4563097587', 'indices': [52, 66]}]",,[],1.3015597149758054e+18,,,rationalsquad,81979135.0,,,,[],[],,,[],,,,,,20Oct20_151405,rationalsquad joebiden amandaforpa julieslomski jd4pastsenate thank bs earth environmental science worked research modeling act running ensure planet around sons future family victims greedy fossil fuel industry polluting well,"['rationalsquad', 'joebiden', 'amandaforpa', 'julieslomski', 'jd4pastsen', 'thank', 'bs', 'earth', 'environment', 'scienc', 'work', 'research', 'model', 'act', 'run', 'ensur', 'planet', 'around', 'son', 'futur', 'famili', 'victim', 'greedi', 'fossil', 'fuel', 'industri', 'pollut', 'well']"
1291181259415334912,2020-08-06 01:16:15,Retweet,"If you are fighting for a Green New Deal, Medicare for All, Defunding the Police, Abolishing ICE, Legalizing marijuana, College for All and Defunding the War Machine, then retweet and I’ll follow you. #NoComradesUnder1k",Shadi Zitoon,ShadiZitoon,1202434901695447041,2156,3062,[],['NoComradesUnder1k'],[],,[],1.2911183535750554e+18,Wed Aug 05 21:06:17 +0000 2020,Ben Hauck 🌹,fightdenial,3316346737.0,,,,[],[],,,[],,,,,,20Oct20_150711,fighting green deal medicare defunding police abolishing ice legalizing marijuana college defunding war machine retweet follow nocomradesunder1k,"['fight', 'green', 'deal', 'medicar', 'defund', 'polic', 'abolish', 'ice', 'legal', 'marijuana', 'colleg', 'defund', 'war', 'machin', 'retweet', 'follow', 'nocomradesunder1k']"
1253013301417652224,2020-04-22 17:30:25,Standard Tweet,"Today is the 50th Anniversary of #EarthDay, first established in 1970 amid growing public concern about air and water pollution. We must remain committed to addressing the negative effects of climate change and protecting our planet for generations to come. #AZ01 https://t.co/UUIa3p2ESJ",Tom O'Halleran,TomOHalleran,2573587962,0,4,[],"['EarthDay', 'AZ01']",[],photo,['http://pbs.twimg.com/media/EWOY9KYXQAAkPL0.jpg'],,,,,,,,,[],[],,,[],,,,,,04Oct20_144430,50th anniversary earthday first established 1970 amid growing public concern air water pollution remain committed addressing negative effects protecting planet generations come az01,"['th', 'anniversari', 'earthday', 'first', 'establish', 'amid', 'grow', 'public', 'concern', 'air', 'water', 'pollut', 'remain', 'commit', 'address', 'negat', 'effect', 'protect', 'planet', 'generat', 'come', 'az01']"
1253048548691570688,2020-04-22 19:50:29,Standard Tweet,"It has been 50 years since our 1st #EarthDay. We are on the edge of the precipice in #ClimateChange. We can either turn around &amp; save our Earth, or fall over the cliff &amp; have global disaster. Please see my FB post below: 👇 https://t.co/5xFsU6pS4J",Delina DiSanto,delina4az,967145325881319425,2,7,[],"['EarthDay', 'ClimateChange']",[],photo,['http://pbs.twimg.com/media/EWO3EAgU8AAQ0em.png'],,,,,,,,,[],[],,,[],,,,,,04Oct20_144450,50 years since 1st earthday edge precipice either turn around save earth fall cliff global disaster please fb post,"['year', 'sinc', 'st', 'earthday', 'edg', 'precipic', 'either', 'turn', 'around', 'save', 'earth', 'fall', 'cliff', 'global', 'disast', 'pleas', 'fb', 'post']"
